device,metrics,top_tt_esd:nominal,top_tt_esd:asserts,toprf_tt:nominal,toprf_tt:asserts,mode,w,l,m,multi,wr,lr,br,gr,nr,s,stm,spm,dmflag,shield,nf,area,pj
rnodwo,resistance,99.7021,,99.7021,,normal,400n,400n,2.0,1.0,,,,,,,,,,,,,
rpodwo,resistance,246.671,,246.671,,normal,400n,400n,2.0,1.0,,,,,,,,,,,,,
rupolym,resistance,3186.07,,3186.07,,normal,60n,400n,2.0,1.0,,,,,,,,,,,,,
rnodl,resistance,0.965775,"{""Id""=>50, ""Checker Name""=>""x_3.clexcw_hbm_ie_rnodl"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_3"", ""Model""=>nil, ""StartValue""=>0.1035438, ""Margin""=>0.0235438, ""StartTime (s)""=>-0.5, ""Duration (s)""=>2.3, ""EndTime (s)""=>1.8, ""EndValue""=>0.1035438, ""AvgValue""=>0.1035438, ""Message""=>""I(n1) = 1.0354379951e-01; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>0.1035438, ""Dissatisfied""=>""""}",0.965775,,normal,2u,140n,2.0,1.0,,,,,,,,,,,,,
rnods,resistance,12.9424,"{""Id""=>53, ""Checker Name""=>""x_4.clexcw_hbm_ie_rnods"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_4"", ""Model""=>nil, ""StartValue""=>0.007726569, ""Margin""=>0.002126569, ""StartTime (s)""=>-0.5, ""Duration (s)""=>2.3, ""EndTime (s)""=>1.8, ""EndValue""=>0.007726569, ""AvgValue""=>0.007726569, ""Message""=>""I(n1) = 7.7265686114e-03; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>0.007726569, ""Dissatisfied""=>""""}",12.9424,,normal,140n,140n,2.0,1.0,,,,,,,,,,,,,
rpodl,resistance,2.2918,,2.2918,,normal,2u,360n,2.0,1.0,,,,,,,,,,,,,
rpods,resistance,11.1897,,11.1897,,normal,360n,360n,2.0,1.0,,,,,,,,,,,,,
rnmg,resistance,269.044,"{""Id""=>63, ""Checker Name""=>""n22ullrf_soac_rnmg_irms_trise"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_7"", ""Model""=>nil, ""StartValue""=>8.629412, ""Margin""=>3.629412, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>8.629412, ""AvgValue""=>8.629412, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; m = 2.0000000000e+00; multi = 1.0000000000e+00; w = 1.0000000000e-07; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>8.629412, ""Dissatisfied""=>""""};{""Id""=>64, ""Checker Name""=>""n22ullrf_soac_rnmg_iavg"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_7"", ""Model""=>nil, ""StartValue""=>1858.431, ""Margin""=>1641.261, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>1858.431, ""AvgValue""=>1858.431, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; w = 1.0000000000e-07; m = 2.0000000000e+00; multi = 1.0000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>1858.431, ""Dissatisfied""=>""""}",269.044,"{""Id""=>40, ""Checker Name""=>""n22ullrf_soac_rnmg_irms_trise"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_7"", ""Model""=>nil, ""StartValue""=>8.629412, ""Margin""=>3.629412, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>8.629412, ""AvgValue""=>8.629412, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; m = 2.0000000000e+00; multi = 1.0000000000e+00; w = 1.0000000000e-07; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>8.629412, ""Dissatisfied""=>""""};{""Id""=>41, ""Checker Name""=>""n22ullrf_soac_rnmg_iavg"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_7"", ""Model""=>nil, ""StartValue""=>1858.431, ""Margin""=>1641.261, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>1858.431, ""AvgValue""=>1858.431, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; w = 1.0000000000e-07; m = 2.0000000000e+00; multi = 1.0000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>1858.431, ""Dissatisfied""=>""""}",normal,100n,880n,2.0,1.0,,,,,,,,,,,,,
rpmg,resistance,339.042,"{""Id""=>61, ""Checker Name""=>""n22ullrf_soac_rpmg_irms_trise"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_8"", ""Model""=>nil, ""StartValue""=>5.434027, ""Margin""=>0.4340266, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>5.434027, ""AvgValue""=>5.434027, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 2.9494888413e-04; m = 2.0000000000e+00; multi = 1.0000000000e+00; w = 1.0000000000e-07; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>5.434027, ""Dissatisfied""=>""""};{""Id""=>62, ""Checker Name""=>""n22ullrf_soac_rpmg_iavg"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_8"", ""Model""=>nil, ""StartValue""=>1474.744, ""Margin""=>1257.574, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>1474.744, ""AvgValue""=>1474.744, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 2.9494888413e-04; w = 1.0000000000e-07; m = 2.0000000000e+00; multi = 1.0000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>1474.744, ""Dissatisfied""=>""""}",339.042,"{""Id""=>34, ""Checker Name""=>""n22ullrf_soac_rpmg_irms_trise"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_8"", ""Model""=>nil, ""StartValue""=>5.434027, ""Margin""=>0.4340266, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>5.434027, ""AvgValue""=>5.434027, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 2.9494888413e-04; m = 2.0000000000e+00; multi = 1.0000000000e+00; w = 1.0000000000e-07; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>5.434027, ""Dissatisfied""=>""""};{""Id""=>35, ""Checker Name""=>""n22ullrf_soac_rpmg_iavg"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_8"", ""Model""=>nil, ""StartValue""=>1474.744, ""Margin""=>1257.574, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>1474.744, ""AvgValue""=>1474.744, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 2.9494888413e-04; w = 1.0000000000e-07; m = 2.0000000000e+00; multi = 1.0000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>1474.744, ""Dissatisfied""=>""""}",normal,100n,880n,2.0,1.0,,,,,,,,,,,,,
rnwod,resistance,331.061,,331.061,,normal,1.8u,1.8u,,2.0,,,,,,,,,,,,,
rnwsti,resistance,1163.22,,1163.22,,normal,1.8u,1.8u,,2.0,,,,,,,,,,,,,
rnodwo_m,resistance,99.7021,,99.7021,,normal,400n,400n,2.0,1.0,,,,,,,,,,,,,
rpodwo_m,resistance,246.671,,246.671,,normal,400n,400n,2.0,1.0,,,,,,,,,,,,,
rupolym_m,resistance,3186.07,,3186.07,,normal,60n,400n,2.0,1.0,,,,,,,,,,,,,
rnodl_m,resistance,0.965775,"{""Id""=>56, ""Checker Name""=>""x_14.clexcw_hbm_ie_rnodl_m"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_14"", ""Model""=>nil, ""StartValue""=>0.1035438, ""Margin""=>0.0235438, ""StartTime (s)""=>-0.5, ""Duration (s)""=>2.3, ""EndTime (s)""=>1.8, ""EndValue""=>0.1035438, ""AvgValue""=>0.1035438, ""Message""=>""I(n1) = 1.0354379951e-01; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>0.1035438, ""Dissatisfied""=>""""}",0.965775,,normal,2u,140n,2.0,1.0,,,,,,,,,,,,,
rnods_m,resistance,12.9424,"{""Id""=>81, ""Checker Name""=>""x_15.clexcw_hbm_ie_rnods_m"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_15"", ""Model""=>nil, ""StartValue""=>0.007726569, ""Margin""=>0.002126569, ""StartTime (s)""=>-0.5, ""Duration (s)""=>2.3, ""EndTime (s)""=>1.8, ""EndValue""=>0.007726569, ""AvgValue""=>0.007726569, ""Message""=>""I(n1) = 7.7265686114e-03; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>0.007726569, ""Dissatisfied""=>""""}",12.9424,,normal,140n,140n,2.0,1.0,,,,,,,,,,,,,
rpodl_m,resistance,2.2918,,2.2918,,normal,2u,360n,2.0,1.0,,,,,,,,,,,,,
rpods_m,resistance,11.1897,,11.1897,,normal,360n,360n,2.0,1.0,,,,,,,,,,,,,
rnmg_m,resistance,269.044,"{""Id""=>65, ""Checker Name""=>""n22ullrf_soac_rnmg_m_irms_trise"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_18"", ""Model""=>nil, ""StartValue""=>8.629412, ""Margin""=>3.629412, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>8.629412, ""AvgValue""=>8.629412, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; m = 2.0000000000e+00; multi = 1.0000000000e+00; wr = 1.0000000000e-07; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>8.629412, ""Dissatisfied""=>""""};{""Id""=>66, ""Checker Name""=>""n22ullrf_soac_rnmg_m_iavg"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_18"", ""Model""=>nil, ""StartValue""=>1858.431, ""Margin""=>1641.261, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>1858.431, ""AvgValue""=>1858.431, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; wr = 1.0000000000e-07; m = 2.0000000000e+00; multi = 1.0000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>1858.431, ""Dissatisfied""=>""""}",269.044,"{""Id""=>38, ""Checker Name""=>""n22ullrf_soac_rnmg_m_irms_trise"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_18"", ""Model""=>nil, ""StartValue""=>8.629412, ""Margin""=>3.629412, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>8.629412, ""AvgValue""=>8.629412, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; m = 2.0000000000e+00; multi = 1.0000000000e+00; wr = 1.0000000000e-07; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>8.629412, ""Dissatisfied""=>""""};{""Id""=>39, ""Checker Name""=>""n22ullrf_soac_rnmg_m_iavg"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_18"", ""Model""=>nil, ""StartValue""=>1858.431, ""Margin""=>1641.261, ""StartTime (s)""=>1.8, ""Duration (s)""=>0.0, ""EndTime (s)""=>1.8, ""EndValue""=>1858.431, ""AvgValue""=>1858.431, ""Message""=>""v(real_life_time_factor) = 1.0000000000e+00; I(n1) = 3.7168623982e-04; wr = 1.0000000000e-07; m = 2.0000000000e+00; multi = 1.0000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>1.8, ""PeakValue""=>1858.431, ""Dissatisfied""=>""""}",normal,100n,880n,2.0,1.0,,,,,,,,,,,,,
