Index,Amps,Volts
1,-5.3861E-10,7.3898
2,-1.2385E-09,7.8756
3,-2.7907E-10,7.445
4,-7.209E-11,7.0526
5,1.794E-11,5.8776
6,2.0015E-11,5.205
7,1.9929E-11,4.556
8,1.9862E-11,4.3532
9,1.9847E-11,4.148
10,1.7203E-11,3.469
11,1.3297E-11,3.2662
12,6.96E-13,2.6406
13,1.6E-13,2.2594
14,1.54E-13,1.52688
15,1.53E-13,1.32172
16,1.54E-13,1.11796
17,1.56E-13,0.91438
18,1.4E-13,0.70996
19,1.11E-13,0.50626
20,1.11E-13,0.30208
21,1.99E-13,0.1004
22,1.68E-13,-0.10398
23,1.8E-13,-0.30688
24,1.43E-13,-0.51128
25,1.72E-13,-0.71398
26,1.68E-13,-0.91736
27,1.53E-13,-1.12016
28,1.56E-13,-1.323
29,1.51E-13,-1.52724
30,1.38E-13,-1.72938
31,1.48E-13,-1.93298
32,1.5E-13,-2.13436
33,9.8E-14,-2.338
34,1.42E-13,-2.5398
35,1.16E-13,-2.7436
36,1.39E-13,-2.9456
37,8.7E-14,-3.148
38,1.43E-13,-3.3502
39,1.34E-13,-3.5524
40,4.7E-14,-3.7558
41,1.23E-13,-3.9574
42,1.06E-13,-4.1596
43,6.1E-14,-4.3602
44,9.3E-14,-4.5632
45,5.1E-14,-4.7644
46,7.8E-14,-4.967
47,6.7E-14,-5.1684
48,6.4E-14,-5.369
49,7.1E-14,-5.5706
50,8.6E-14,-5.7716
51,1.202E-12,-6.5316
52,2.522E-12,-6.718
53,5.191E-12,-6.91
54,1.0211E-11,-7.1678
55,1.08929E-10,-7.7854
56,1.13688E-10,-7.8684
57,1.7466E-10,-7.9038
58,1.7941E-10,-7.9112
59,1.8441E-10,-7.9214
60,1.8979E-10,-7.931
61,1.9524E-10,-7.941
62,2.0067E-10,-7.9498
63,2.0648E-10,-7.9578
64,2.1244E-10,-7.9692
65,2.107E-10,-7.9592
66,2.0444E-10,-7.9504
67,1.982E-10,-7.9416
68,1.9242E-10,-7.9302
69,1.8662E-10,-7.9222
70,1.811E-10,-7.9128
71,1.7558E-10,-7.903
72,1.7036E-10,-7.895
73,1.6527E-10,-7.8826
74,1.603E-10,-7.8752
75,1.5562E-10,-7.8654
76,1.5094E-10,-7.8558
77,1.4649E-10,-7.8476
78,1.4203E-10,-7.8354
79,1.3768E-10,-7.8274
